iter	Passed	Remaining
0	1	1837
1	2	1374
2	4	1410
3	5	1402
4	7	1423
5	8	1465
6	9	1359
7	11	1370
8	12	1375
9	14	1391
10	15	1393
11	17	1402
12	18	1409
13	20	1411
14	21	1408
15	23	1414
16	24	1420
17	26	1421
18	27	1426
19	29	1423
20	30	1406
21	31	1406
22	33	1414
23	34	1396
24	35	1395
25	37	1393
26	38	1391
27	39	1388
28	41	1386
29	42	1387
30	44	1384
31	45	1385
32	47	1388
33	48	1390
34	50	1387
35	51	1389
36	53	1393
37	55	1394
38	56	1383
39	57	1381
40	58	1379
41	60	1381
42	61	1377
43	63	1377
44	64	1378
45	66	1378
46	67	1371
47	69	1375
48	70	1373
49	72	1374
50	73	1373
51	75	1374
52	76	1367
53	78	1367
54	79	1366
55	81	1365
56	82	1365
57	83	1363
58	85	1363
59	86	1361
60	88	1360
61	89	1360
62	91	1361
63	93	1361
64	94	1361
65	96	1361
66	97	1363
67	99	1363
68	100	1361
69	101	1349
70	103	1349
71	104	1350
72	105	1346
73	107	1345
74	109	1345
75	110	1344
76	112	1346
77	113	1346
78	115	1345
79	116	1344
80	118	1346
81	120	1345
82	122	1347
83	123	1346
84	124	1344
85	126	1341
86	127	1339
87	129	1338
88	130	1335
89	131	1333
90	133	1331
91	134	1329
92	136	1327
93	137	1326
94	139	1324
95	140	1322
96	141	1320
97	143	1319
98	144	1317
99	146	1317
100	147	1315
101	149	1315
102	151	1315
103	152	1314
104	153	1312
105	155	1309
106	156	1310
107	158	1310
108	159	1303
109	160	1300
110	162	1297
111	162	1291
112	164	1290
113	165	1289
114	167	1289
115	169	1288
116	170	1287
117	171	1282
118	173	1281
119	174	1279
120	175	1278
121	177	1276
122	178	1270
123	180	1272
124	181	1270
125	182	1269
126	184	1267
127	185	1266
128	187	1265
129	188	1264
130	190	1264
131	192	1263
132	193	1262
133	195	1260
134	196	1259
135	198	1257
136	199	1256
137	200	1254
138	202	1253
139	203	1251
140	205	1249
141	206	1248
142	208	1246
143	209	1245
144	211	1244
145	212	1243
146	214	1242
147	215	1240
148	217	1239
149	218	1238
150	220	1237
151	221	1236
152	223	1234
153	224	1233
154	225	1231
155	227	1229
156	228	1228
157	230	1226
158	231	1226
159	233	1224
160	234	1223
161	236	1221
162	237	1220
163	239	1219
164	240	1217
165	242	1216
166	243	1214
167	245	1214
168	246	1213
169	248	1212
170	249	1210
171	251	1208
172	252	1207
173	254	1206
174	255	1205
175	257	1203
176	258	1202
177	260	1201
178	261	1199
179	263	1198
180	264	1196
181	265	1195
182	267	1193
183	268	1192
184	270	1190
185	271	1188
186	273	1188
187	274	1186
188	276	1185
189	277	1184
190	279	1183
191	281	1183
192	282	1181
193	283	1179
194	285	1179
195	287	1178
196	289	1178
197	290	1176
198	292	1175
199	293	1174
200	294	1171
201	296	1169
202	297	1168
203	299	1167
204	300	1165
205	302	1164
206	303	1163
207	305	1161
208	306	1160
209	308	1159
210	309	1158
211	311	1156
212	312	1155
213	314	1154
214	315	1152
215	317	1150
216	318	1149
217	319	1147
218	321	1145
219	322	1144
220	324	1142
221	325	1140
222	326	1138
223	328	1137
224	329	1135
225	331	1133
226	332	1132
227	334	1130
228	335	1129
229	336	1127
230	337	1123
231	338	1122
232	340	1120
233	341	1119
234	343	1117
235	344	1115
236	346	1114
237	347	1113
238	349	1111
239	350	1110
240	351	1108
241	353	1106
242	354	1105
243	356	1104
244	357	1103
245	359	1102
246	360	1100
247	362	1099
248	363	1097
249	365	1096
250	367	1095
251	368	1093
252	370	1093
253	371	1092
254	373	1090
255	374	1089
256	376	1087
257	377	1086
258	379	1084
259	380	1082
260	381	1080
261	383	1079
262	384	1077
263	385	1075
264	387	1075
265	389	1074
